FAMILY	NAME	FATHER	MOTHER	INDEX	NUMBER
Inbred	Inb1.0	Inb1.-1	Inb1.-1		0
Inbred	Inb1.1	Inb1.-1	Inb1.-1		1
Inbred	Inb1.2	Inb1.0	Inb1.1		2
Inbred	Inb1.3	Inb1.0	Inb1.1		3
Inbred	Inb1.4	Inb1.0	Inb1.1		4
Inbred	Inb1.5	Inb1.0	Inb1.1	1	5
Inbred	Inb1.6	Inb1.3	Inb1.4		6
Inbred	Inb1.7	Inb1.-1	Inb1.-1		7
Inbred	Inb1.8	Inb1.3	Inb1.7		8
Inbred	Inb1.9	Inb1.2	Inb1.7		9
Inbred	Inb1.10	Inb1.8	Inb1.9		10
Inbred	Inb1.11	Inb1.8	Inb1.4		11
Inbred	Inb1.12	Inb1.3	Inb1.1		12
Xvj1	Xvj1.0	Xvj1.-1	Xvj1.-1		0
Xvj1	Xvj1.1	Xvj1.-1	Xvj1.-1		1
Xvj1	Xvj1.2	Xvj1.-1	Xvj1.-1		2
Xvj1	Xvj1.3	Xvj1.-1	Xvj1.-1		3
Xvj1	Xvj1.4	Xvj1.-1	Xvj1.-1		4
Xvj1	Xvj1.5	Xvj1.-1	Xvj1.-1		5
Xvj1	Xvj1.6	Xvj1.-1	Xvj1.-1		6
Xvj1	Xvj1.7	Xvj1.0	Xvj1.1		7
Xvj1	Xvj1.8	Xvj1.0	Xvj1.1		8
Xvj1	Xvj1.9	Xvj1.0	Xvj1.1		9
Xvj1	Xvj1.10	Xvj1.-1	Xvj1.-1		10
Xvj1	Xvj1.11	Xvj1.0	Xvj1.1		11
Xvj1	Xvj1.12	Xvj1.-1	Xvj1.-1	1	12
Xvj1	Xvj1.13	Xvj1.-1	Xvj1.-1		13
Xvj1	Xvj1.14	Xvj1.2	Xvj1.3		14
Xvj1	Xvj1.15	Xvj1.4	Xvj1.5		15
Xvj1	Xvj1.16	Xvj1.4	Xvj1.5		16
Xvj1	Xvj1.17	Xvj1.-1	Xvj1.-1		17
Xvj1	Xvj1.18	Xvj1.4	Xvj1.5		18
Xvj1	Xvj1.19	Xvj1.4	Xvj1.5		19
Xvj1	Xvj1.20	Xvj1.4	Xvj1.5		20
Xvj1	Xvj1.21	Xvj1.16	Xvj1.17		21
Xvj1	Xvj1.22	Xvj1.7	Xvj1.12		22
Xvj1	Xvj1.23	Xvj1.7	Xvj1.12		23
Xvj1	Xvj1.24	Xvj1.7	Xvj1.12		24
Xvj1	Xvj1.25	Xvj1.7	Xvj1.12		25
Xvj1	Xvj1.26	Xvj1.-1	Xvj1.-1		26
Xvj1	Xvj1.27	Xvj1.14	Xvj1.18		27
Xvj1	Xvj1.28	Xvj1.22	Xvj1.26		28
Xvj1	Xvj1.29	Xvj1.22	Xvj1.26		29
Lyn2	Lyn2.0	Lyn2.-1	Lyn2.-1		0
Lyn2	Lyn2.1	Lyn2.-1	Lyn2.-1		1
Lyn2	Lyn2.2	Lyn2.-1	Lyn2.-1		2
Lyn2	Lyn2.3	Lyn2.-1	Lyn2.-1		3
Lyn2	Lyn2.4	Lyn2.-1	Lyn2.-1		4
Lyn2	Lyn2.5	Lyn2.-1	Lyn2.-1		5
Lyn2	Lyn2.6	Lyn2.-1	Lyn2.-1		6
Lyn2	Lyn2.7	Lyn2.0	Lyn2.1		7
Lyn2	Lyn2.8	Lyn2.0	Lyn2.1		8
Lyn2	Lyn2.9	Lyn2.-1	Lyn2.-1		9
Lyn2	Lyn2.10	Lyn2.0	Lyn2.1		10
Lyn2	Lyn2.11	Lyn2.2	Lyn2.3		11
Lyn2	Lyn2.12	Lyn2.2	Lyn2.3		12
Lyn2	Lyn2.13	Lyn2.4	Lyn2.5		13
Lyn2	Lyn2.14	Lyn2.4	Lyn2.5		14
Lyn2	Lyn2.15	Lyn2.4	Lyn2.5		15
Lyn2	Lyn2.16	Lyn2.4	Lyn2.5		16
Lyn2	Lyn2.17	Lyn2.4	Lyn2.5		17
Lyn2	Lyn2.18	Lyn2.4	Lyn2.5		18
Lyn2	Lyn2.19	Lyn2.10	Lyn2.15		19
Lyn2	Lyn2.20	Lyn2.-1	Lyn2.-1		20
Lyn2	Lyn2.21	Lyn2.10	Lyn2.15		21
Lyn2	Lyn2.22	Lyn2.10	Lyn2.15		22
